Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Courtlands Aged Care Facility,19 Lake Street,,NORTH PARRAMATTA,NSW,2151,Western Sydney,Residential,144,,,,Manchester Unity Australia Ltd,Charitable,Major Cities of Australia,"$6,251,493"
Cowra Community Care Services,1 HOLMAN Place,,COWRA,NSW,2794,Central West,Home Care Places,,22,,,Cowra Retirement Village Ltd,Charitable,Inner Regional Australia,"$302,308"
Craigcare Albany,17 BEAUFORT Road,,YAKAMIA,WA,6330,Great Southern,Residential,85,,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$4,389,395"
Craigcare Berwick,21 Parkhill Drive,,BERWICK,VIC,3806,Southern Metro,Residential,140,,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$9,144,353"
Craigcare Maylands,6  3RD AVENUE EAST,,MAYLANDS,WA,6051,Metropolitan East,Residential,84,,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,916,003"
Craigcare Mornington,680 Nepean Highway,,MOUNT MARTHA,VIC,3934,Southern Metro,Residential,124,,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,784,962"
Craigcare Pascoe Vale,1 A Virginia Street,,PASCOE VALE,VIC,3044,Northern Metro,Residential,140,,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$9,319,763"
Creswick District Nursing Home,25 Napier Street,,CRESWICK,VIC,3363,Grampians,Residential,30,,,,Hepburn Health Service,State Government,Inner Regional Australia,"$1,498,601"
Cronulla Seaside Aged Care,2 Girrilang Road,,CRONULLA,NSW,2230,South East Sydney,Residential,40,,,,Pathways Aged Care Pty Limited,Private Incorporated Body,Major Cities of Australia,"$2,909,417"
Crossley House Hostel Inc,14 Nicol Street,,YARRAM,VIC,3971,Gippsland,Residential,30,,,,Yarram & District Health Service,State Government,Inner Regional Australia,"$805,603"
Crowley Retirement Village,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Residential,71,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,"$3,360,163"
Crowley Retirement Village,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Residential,48,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,"$2,977,438"
Crowley Retirement Village - CACP Service Ballina,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Home Care Places,,83,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,"$1,114,616"
Crows Nest Ccp Service,8 Grace Street,,CROWS NEST,QLD,4355,Darling Downs,Home Care Places,,5,,,Churches of Christ in Queensland,Religious,Inner Regional Australia,"$63,753"
Culcairn Multi-Purpose Service,65 Balfour Street,,CULCAIRN,NSW,2660,Riverina/Murray,Multi-Purpose Service,22,2,,,Murrumbidgee Local Health District,State Government,Inner Regional Australia,"$880,098"
Cumberland Manor,11 Cumberland Street,,SUNSHINE NORTH,VIC,3020,Western Metro,Residential,74,,,,Primary Caring Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,134,348"
Cumberland View Hostel,123-127 Whalley Drive,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,161,,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,"$7,466,209"
Cumberland View Hostel Home Care Packages,123 - 127 Whalley Drive,,WHEELERS HILL,VIC,3150,Eastern Metro,Home Care Places,,26,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,"$327,187"
Cumberland View Nursing Home,4 Windmill Court,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,30,,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,"$2,227,145"
Cunderdin/Meckering/Tammin MPS,6 Cubbine Street,,CUNDERDIN,WA,6407,Wheatbelt,Multi-Purpose Service,15,3,,,Government of Western Australia,State Government,Outer Regional Australia,"$599,246"
Cunningham Villas,82 Soldiers Road,,BOWEN,QLD,4805,Northern,Residential,48,,,,Scartwater Trust,Private Incorporated Body,Outer Regional Australia,"$3,198,910"
Cura In-Home Care,230 Cambridge Street,,WEMBLEY,WA,6014,Metropolitan North,Home Care Places,,56,,,Dutch Aged Care (Western Australia) Inc,Charitable,Major Cities of Australia,"$760,777"
Cypress Gardens Aged Care Residence, GOODING DRIVE,,CLEAR ISLAND WATERS,QLD,4226,South Coast,Residential,93,,,,Tricare (Country) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,321,810"
Cypress View Lodge,16-24 Kookaburra Avenue,,COLEAMBALLY,NSW,2707,Riverina/Murray,Residential,19,,,,Cypress View Lodge Limited,Charitable,Outer Regional Australia,"$833,203"
"Cypress View Lodge, Apartments & CACPS",16-24 Kookaburra Avenue,,COLEAMBALLY,NSW,2707,Riverina/Murray,Home Care Places,,6,,,Cypress View Lodge Limited,Charitable,Outer Regional Australia,"$88,751"
Cyril Jewell House,68 Hassett Crescent,,KEILOR EAST,VIC,3033,Western Metro,Residential,45,,,,Melbourne Health,State Government,Major Cities of Australia,"$2,446,538"
Dale Community Care,2 Hobbs Drive,,ARMADALE,WA,6112,Metropolitan South East,Home Care Places,,45,,,Dale Cottages (Inc.),Community Based,Major Cities of Australia,"$551,163"
Dalrymple Villa,15 Fraser Street,,RICHMOND HILL,QLD,4820,Northern,Residential,41,,,,Dalrymple Villa Inc,Local Government,Outer Regional Australia,"$1,717,814"
Dalwallinu MPS,17 MYERS Street,,DALWALLINU,WA,6609,Wheatbelt,Multi-Purpose Service,15,3,,,Government of Western Australia,State Government,Remote Australia,"$661,267"
Dandaragan/Moora MPS,66 Dandaragan Street,,MOORA,WA,6510,Wheatbelt,Multi-Purpose Service,40,7,,,Government of Western Australia,State Government,Outer Regional Australia,"$1,453,989"
Danvero Albany CACP,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care Places,,26,,,Danvero Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$157,305"
Danvero Albany EACH,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care Places,,,20,,Danvero Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$937,765"
Danvero Albany EACH-D,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care Places,,,20,,Danvero Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$891,957"
Daramulen CACP Service,"Suite G1, Ground Floor Number",237 Mann Street,GOSFORD,NSW,2250,Central Coast,Home Care Places,,7,,,Home Care Service of New South Wales,State Government,Major Cities of Australia,"$49,332"
Dareton Aboriginal CACPs - Wiradjuri AHC,16 MITCHELL Avenue,,DARETON,NSW,2717,Orana Far West,Home Care Places,,25,,,Home Care Service of New South Wales,State Government,Outer Regional Australia,"$289,430"
Darley House,300 WATERDALE Road,,HEIDELBERG HEIGHTS,VIC,3081,Northern Metro,Residential,60,,,,Austin Health,State Government,Major Cities of Australia,"$3,321,737"
Darlingford Upper Goulburn Nursing Home,5 High Street,,EILDON,VIC,3713,Hume,Residential,51,,,,Darlingford Upper Goulburn Nursing Home Inc,Community Based,Outer Regional Australia,"$1,951,894"
Darvall Lodge,519 Princes Highway,,NOBLE PARK,VIC,3174,Southern Metro,Residential,72,,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,"$4,327,143"
David Buttfield Centre,649 NORTH BEACH Road,,GWELUP,WA,6018,Metropolitan North,Residential,105,,,,Baptistcare Incorporated,Religious,Major Cities of Australia,"$6,772,561"
Daylesford Nursing Home,13 Hospital Street,,DAYLESFORD,VIC,3460,Grampians,Residential,18,,,,Hepburn Health Service,State Government,Inner Regional Australia,"$1,002,119"
De Paul Villa Aged Care,27 Edmund Rice Drive,,ASHMORE,QLD,4214,South Coast,Residential,115,,,,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,Religious,Major Cities of Australia,"$5,922,353"
Delegate Multi-Purpose Service,16-22 Craigie Street,,DELEGATE,NSW,2633,Southern Highlands,Multi-Purpose Service,9,4,,,Southern NSW Local Health District,State Government,Outer Regional Australia,"$592,296"
Della Dale Aged Care,17 DERWENT Street,,RINGWOOD NORTH,VIC,3134,Eastern Metro,Residential,30,,,,NDN Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,660,941"
Dellacourt,42 NICHOLSON Place,,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,"$7,380,826"
Deloraine Private Nursing Home,18 Adeline Street,,GREENSBOROUGH,VIC,3088,Northern Metro,Residential,56,,,,Ejaz Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,016,104"
Dementia & Alzheimer's Association (Tasmania) Community Aged Care Package Service,15 ST JOHNS Avenue,,NEW TOWN,TAS,7008,Northern,Home Care Places,,10,,,Dementia and Alzheimer's Association (Tasmania) Inc,Community Based,Inner Regional Australia,"$122,598"
Dementia EACH - New England,67 Killean Street,,INVERELL,NSW,2360,New England,Home Care Places,,,23,,McLean Care Ltd,Charitable,Outer Regional Australia,"$1,115,059"
Denman Community Aged Care,45 Ogilvie Street,,DENMAN,NSW,2328,Hunter,Home Care Places,,5,,,Denman and District Retirement Centre Association Inc,Community Based,Inner Regional Australia,"$63,964"
Denman Multi-Purpose Service,51 OGILVIE Street,,DENMAN,NSW,2328,Hunter,Multi-Purpose Service,13,,,,Hunter New England Local Health District,State Government,Inner Regional Australia,"$717,535"
Denmark MPS,3 Strickland Street,,DENMARK,WA,6333,Great Southern,Multi-Purpose Service,49,11,,,Government of Western Australia,State Government,Outer Regional Australia,"$1,659,611"
Dhauward - Wurrung ATSI CACPS,18 Wellington Road,,PORTLAND,VIC,3305,Barwon-South Western,Home Care Places,,2,,,Dhauwurd-Wurrung Elderly and Community Health Service Inc.,Community Based,Outer Regional Australia,"$26,123"
Diana Street Lodge,1-5 Mount Dandenong Road,,CROYDON,VIC,3136,Eastern Metro,Residential,60,,,,Donwood Community Aged Care Services Inc,Community Based,Major Cities of Australia,"$2,723,617"
Dianella Hostel,36  RUTLEDGE STREET,,KILMORE,VIC,3764,Hume,Residential,30,,,,The Kilmore & District Hospital,State Government,Inner Regional Australia,"$1,024,534"
Dimboola District Hospital Nursing Home Unit,32-36 Anderson Street,,DIMBOOLA,VIC,3414,Grampians,Residential,26,,,,Wimmera Health Care Group,State Government,Outer Regional Australia,"$1,578,081"
Dirranbandi Multipurpose Health Service,38  KIRBY STREET,,DIRRANBANDI,QLD,4486,South West,Multi-Purpose Service,6,,,,Queensland Health,State Government,Very Remote Australia,"$261,676"
Disability Ageing Lifestyle Project,L105 Ral Ral Avenue,,RENMARK,SA,5341,Riverland,Innovative Pool,,7,,,Renmark Paringa District Hospital Inc,State Government,Outer Regional Australia,"$90,867"
Disability SA,Fullarton Campus,Level 9 103 Fisher Street,FULLARTON,SA,5063,Metropolitan East,Residential,32,,,,Disability SA,State Government,Major Cities of Australia,"$1,500,713"
Disability SA Northgate,78-96 Dumfries Avenue,,NORTHGATE,SA,5085,Metropolitan North,Residential,32,,,,Disability SA,State Government,Major Cities of Australia,"$1,784,692"
Diversicare,49-51 Thomas Street,,WEST END,QLD,4101,Brisbane South,Home Care Places,,107,20,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,"$1,049,682"
Diversicare - Logan River Valley,49-51 Thomas Street,,WEST END,QLD,4101,Logan River Valley,Home Care Places,,5,,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,"$49,459"
Diversicare - Sunshine Coast,117 Duporth Avenue,,MAROOCHYDORE,QLD,4558,Sunshine Coast,Home Care Places,,25,,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,"$329,662"
Diversicare - West Moreton,49 - 51 Thomas Street,,WEST END,QLD,4101,West Moreton,Home Care Places,,35,,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,"$407,863"
Diversicare Cabool,49-51 Thomas Street,,WEST END,QLD,4101,Cabool,Home Care Places,,60,10,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,"$524,293"
Diversicare Sunshine Coast Multicultural Project,49-51 Thomas Street,,WEST END,QLD,4101,Sunshine Coast,Home Care Places,,60,,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,"$653,674"
Doncaster Melaleuca Lodge,395 Manningham Road,,DONCASTER,VIC,3108,Eastern Metro,Residential,60,,,,Manningham Centre Association Inc,Community Based,Major Cities of Australia,"$3,395,703"
Dongara Mingenew Eneabba MPS,48 Blenheim Road,,PORT DENISON,WA,6525,Mid West,Multi-Purpose Service,33,8,,,Government of Western Australia,State Government,Outer Regional Australia,"$1,320,437"
Don-Wood Nursing Home,1-5 Mount Dandenong Road,,CROYDON,VIC,3136,Eastern Metro,Residential,30,,,,Donwood Community Aged Care Services Inc,Community Based,Major Cities of Australia,"$2,020,661"
Doonside Residential Aged Care Facility,84 Earle Street,,DOONSIDE,NSW,2767,Western Sydney,Residential,48,,,,Doonside Aged Care Centre Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,937,497"
Dorothy Impey Home,317 OHEA Street,,PASCOE VALE SOUTH,VIC,3044,Northern Metro,Residential,92,,,,Coburg Home for the Aged Inc,Community Based,Major Cities of Australia,"$4,231,830"
Dorrigo Multi-Purpose Service,1 Beech Street,,DORRIGO,NSW,2453,Mid North Coast,Multi-Purpose Service,21,6,,,Mid North Coast Local Health District,State Government,Outer Regional Australia,"$977,354"
Dougherty Apartments,1 Victor Street,,CHATSWOOD,NSW,2067,Northern Sydney,Residential,68,,,,Dougherty Apartments Retirement Housing Project,Charitable,Major Cities of Australia,"$3,214,225"
Dougherty Villa,206 Arthur Street,,GRAFTON,NSW,2460,Far North Coast,Residential,54,,,,Clarence Village Limited,Community Based,Inner Regional Australia,"$2,745,652"
Doutta Galla Avondale Heights Aged Care Facility,120 North Road,,AVONDALE HEIGHTS,VIC,3034,Western Metro,Residential,108,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$6,617,277"
Doutta Galla Footscray Aged Care Facility,48 Geelong Road,,FOOTSCRAY,VIC,3011,Western Metro,Residential,88,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$5,288,989"
Doutta Galla Grantham Green Aged Care Facility,28-32 Magnolia Street,,ST ALBANS,VIC,3021,Western Metro,Residential,40,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$2,334,776"
Doutta Galla Lynch's Bridge Aged Care Facility,44 Market Street,,KENSINGTON,VIC,3031,Western Metro,Residential,57,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$3,491,312"
Doutta Galla Queens Park Aged Care Facility,13 The Strand,,MOONEE PONDS,VIC,3039,Western Metro,Residential,45,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$2,886,589"
Doutta Galla Woornack Aged Care Facility,6-8 Killara Street,,SUNSHINE WEST,VIC,3020,Western Metro,Residential,61,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$3,926,991"
Doutta Galla Yarraville Village Aged Care Facility,35 A Somerville Road,,YARRAVILLE,VIC,3013,Western Metro,Residential,45,,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,"$2,943,402"
DP Jones Nursing Home,38 Impey Street,,MURCHISON,VIC,3610,Hume,Residential,40,,,,Murchison Community Care Inc,Community Based,Inner Regional Australia,"$1,721,153"
Dr E A F McDonald Nursing Home,2-6 Beale Street,,OAKEY,QLD,4401,Darling Downs,Residential,71,,,,Queensland Health,State Government,Inner Regional Australia,"$4,009,235"
Dr Mary Surveyor Centre,18 Hocking Road,,KINGSLEY,WA,6026,Metropolitan North,Residential,127,,,,Meath Care (Inc),Community Based,Major Cities of Australia,"$7,145,009"
DRCS Far North EACHD,206 Draper Street,,PARRAMATTA PARK,QLD,4870,Far North,Home Care Places,,,10,,D & R Community Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$491,422"
DRCS Gulf Lands EACH,206 Draper Street,,PARRAMATTA PARK,QLD,4870,North West,Home Care Places,,,5,,D & R Community Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$268,322"
DRCS Gulf Lands Home Care,65 Landsborough Street,,NORMANTON,QLD,4890,North West,Home Care Places,,10,,,D & R Community Services Pty Ltd,Private Incorporated Body,Very Remote Australia,"$48,746"
DRCS Kintore Aged Care,Tjunarriti Road,,KINTORE COMMUNITY,NT,872,Alice Springs,Home Care Places,,14,2,,D & R Community Services Pty Ltd,Private Incorporated Body,Very Remote Australia,"$314,324"
DRCS NT Remote CACP Service,3/78 Woods Street,,DARWIN CITY,NT,800,Darwin,Home Care Places,,29,,,D & R Community Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$418,409"
DRCS NT Remote EACH Service,3/78 Woods Street,,DARWIN CITY,NT,800,Darwin,Home Care Places,,,7,,D & R Community Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$334,846"
Druids@Home,360 Cheltenham Road,,KEYSBOROUGH,VIC,3173,Southern Metro,Home Care Places,,40,,,Druids Friendly Society Limited,Publicly Listed Company,Major Cities of Australia,"$365,649"
Dryandra Residential and Community Care Inc,15 LEAKE Street,,KELLERBERRIN,WA,6410,Wheatbelt,Residential,47,,,,Dryandra Residential and Community Care Inc,Community Based,Outer Regional Australia,"$1,806,318"
Drysdale Grove,33-37 Wyndham Street,,DRYSDALE,VIC,3222,Barwon-South Western,Residential,100,,,,Drysdale Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$6,045,515"
Dumbleyung MPS,35 Dawson Street,,DUMBLEYUNG,WA,6350,Wheatbelt,Multi-Purpose Service,6,1,,,Government of Western Australia,State Government,Remote Australia,"$274,200"
Dunbar Homes Salisbury,11 Mawson Road,,SALISBURY,SA,5108,Metropolitan North,Residential,57,,,,Dunbar Homes Incorporated,Community Based,Major Cities of Australia,"$2,563,065"
Dunedoo Multi-Purpose Service,23 Digilah Street,,DUNEDOO,NSW,2844,Orana Far West,Multi-Purpose Service,25,1,,,Western NSW Local Health District,State Government,Outer Regional Australia,"$841,446"
Dungog Shire Community Care Service,64  HOSPITAL ROAD,,DUNGOG,NSW,2420,Hunter,Home Care Places,,20,,,Dungog & District Neighbourcare Incorporated,Charitable,Inner Regional Australia,"$229,855"
Dunmunkle Lodge Hostel,1 McLeod Street,,MINYIP,VIC,3392,Grampians,Residential,36,,,,Dunmunkle Lodge Inc,Community Based,Outer Regional Australia,"$1,424,440"
Dunolly Nursing Home,12 Havelock Street,,DUNOLLY,VIC,3472,Loddon-Mallee,Residential,19,,,,Maryborough District Health Service,State Government,Inner Regional Australia,"$776,803"
Durham Green Lodge Memory Care,153 Menangle Road,,MENANGLE,NSW,2568,South West Sydney,Residential,104,,,,Blue Hills Village Management (Liverpool) Pty Limited,Private Incorporated Body,Inner Regional Australia,"$3,172,544"
Dutch Aged Care - NAASA Community Services,1 Madras Street,,OAKLANDS PARK,SA,5046,Metropolitan South,Home Care Places,,36,,,Netherlands Australian Aged Service Association Inc,Community Based,Major Cities of Australia,"$449,554"
DutchCare - Southern Metro EACH,1105 FRANKSTON DANDENONG Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Home Care Places,,,5,,DutchCare Ltd,Community Based,Major Cities of Australia,"$234,994"
DutchCare Home Care (Thuiszorg),736 Mt Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Home Care Places,,100,,,DutchCare Ltd,Community Based,Major Cities of Australia,"$1,400,115"
DutchCare Home Care (Thuiszorg) - Gippsland,118 George Street,,MORWELL,VIC,3840,Gippsland,Home Care Places,,35,,,DutchCare Ltd,Community Based,Inner Regional Australia,"$491,503"
Dutton Court Hostel,33 Catalina Road,,ELIZABETH EAST,SA,5112,Metropolitan North,Residential,75,,,,Anglicare SA Inc,Religious,Major Cities of Australia,"$5,391,233"
Dyirri-Bang-Gu Aboriginal Aged Care Service,20 Olympic Street,,GRIFFITH,NSW,2680,Riverina/Murray,Home Care Places,,20,,,Dyirri-Bang-Gu Aboriginal Corporation,Community Based,Outer Regional Australia,"$270,923"
EACH,"Suite 4, 10-12 Short Street",,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care Places,,14,,,EACH,State Government,Inner Regional Australia,"$189,387"
EACH - New England,67 Killean Street,,INVERELL,NSW,2360,New England,Home Care Places,,,38,,McLean Care Ltd,Charitable,Outer Regional Australia,"$1,758,798"
EACH Barkly,66 Peko Road,,TENNANT CREEK,NT,0861,Barkly,Home Care Places,,,5,,Australian Regional and Remote Community Services Limited,Community Based,Very Remote Australia,"$177,281"
EACH Barwon South Western,137 Shannon Avenue,,MANIFOLD HEIGHTS,VIC,3218,Barwon-South Western,Home Care Places,,,12,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$584,833"
EACH Eastern Metro,46 Warrandyte Road,,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,20,20,,EACH,State Government,Major Cities of Australia,"$46,111"
EACH Ltd CACP Service,46 Warrandyte Road,,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,32,,,EACH,State Government,Major Cities of Australia,"$433,642"
EACH Tracy,87 Woods Street,,DARWIN CITY,NT,800,Darwin,Home Care Places,,,10,,Australian Regional and Remote Community Services Limited,Community Based,Outer Regional Australia,"$468,962"
EACHD Barwon South Western,137 Shannon Avenue,,MANIFOLD HEIGHTS,VIC,3218,Barwon-South Western,Home Care Places,,,5,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$250,349"
EACHD Darwin,87 Woods Street,,DARWIN CITY,NT,800,Darwin,Home Care Places,,,5,,Australian Regional and Remote Community Services Limited,Community Based,Outer Regional Australia,"$224,498"
East Arnhem Regional Council,Lot 1422 Chesterfield Circuit,,NHULUNBUY,NT,880,East Arnhem,Home Care Places,,80,11,,East Arnhem Regional Council,Local Government,Very Remote Australia,"$979,416"
Eastern Eyre - Cleve MPS,13 Main Street,,CLEVE,SA,5640,Eyre Peninsula,Multi-Purpose Service,35,2,,,Country Health SA Local Health Network Incorporated,State Government,Remote Australia,"$1,391,199"
Eastern Eyre - Cowell MPS,17 South Terrace,,COWELL,SA,5602,Eyre Peninsula,Multi-Purpose Service,22,2,,,Country Health SA Local Health Network Incorporated,State Government,Remote Australia,"$1,000,340"
Eastern Eyre - Kimba MPS,7-13 Martin Terrace,,KIMBA,SA,5641,Eyre Peninsula,Multi-Purpose Service,22,2,,,Country Health SA Local Health Network Incorporated,State Government,Remote Australia,"$1,000,340"
Eastern Health Transition Care Program,18/45 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Transition Care,,,,94,Department of Health,State Government,Major Cities of Australia,"$6,598,449"
Eastern Metro Care Packages Project,94 SPRINGS Road,,CLARINDA,VIC,3169,Eastern Metro,Home Care Places,,30,,,Fronditha Care,Community Based,Major Cities of Australia,"$426,811"
Eastern Metro Region EACH Program,Suite 2,35 Seymour Street,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,,65,,Baptcare Ltd,Religious,Major Cities of Australia,"$3,009,777"
Eastern Metropolitan Region,Walmsley Friendship Village,500 Greeves Drive,KILSYTH,VIC,3137,Eastern Metro,Home Care Places,,45,10,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$890,638"
Eastern Region EACH Service,722 Mount Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Home Care Places,,,10,,DutchCare Ltd,Community Based,Major Cities of Australia,"$473,772"
Eastern Wheatbelt MPS,37 KITCHENER Road,,MERREDIN,WA,6415,Wheatbelt,Multi-Purpose Service,58,23,,,Government of Western Australia,State Government,Outer Regional Australia,"$3,302,588"
ECH Inc - Eastern Home Services,174 Greenhill Road,,PARKSIDE,SA,5063,Metropolitan East,Home Care Places,,66,12,,ECH Inc,Charitable,Major Cities of Australia,"$113,955"
ECH Inc - Gawler and Lower North Country Home Services,174 Greenhill Road,,PARKSIDE,SA,5063,"Yorke, Lower North & Barossa",Home Care Places,,15,,,ECH Inc,Charitable,Major Cities of Australia,"$16,844"
ECH Inc - Northern Home Services,1 Rellum Road,,GREENACRES,SA,5086,Metropolitan North,Home Care Places,,60,13,,ECH Inc,Charitable,Major Cities of Australia,"$1,118,814"
ECH Inc - Southern Home Services,433 Goodwood Road,,WESTBOURNE PARK,SA,5041,Metropolitan South,Home Care Places,,123,36,,ECH Inc,Charitable,Major Cities of Australia,"$1,615,497"
ECH Inc - Western Home Services,358 Findon Road,,KIDMAN PARK,SA,5025,Metropolitan West,Home Care Places,,114,48,,ECH Inc,Charitable,Major Cities of Australia,"$2,466,729"
ECH Inc Hills Fleurieu Home Services,174 Greenhill Road,,PARKSIDE,SA,5063,"Hills, Mallee & Southern",Home Care Places,,73,23,,ECH Inc,Charitable,Major Cities of Australia,"$1,191,630"
Eden Park Residential Aged Care,31-33 Thompson Street,,WHITTINGTON,VIC,3219,Barwon-South Western,Residential,90,,,,Serene Brook Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,681,357"
Edenfield Family Care,20-36 Gardenia Drive,,PARAFIELD GARDENS,SA,5107,Metropolitan North,Residential,50,,,,El-Jasbella Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,349,037"
Edenvale Manor Aged Care Facility,188a Sterling Drive,,KEILOR EAST,VIC,3033,Western Metro,Residential,60,,,,Llandysil Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,794,343"
Edgarley Home,85 Jackson Street,,CASTERTON,VIC,3311,Barwon-South Western,Residential,43,,,,Edgarley Home Inc,Community Based,Outer Regional Australia,"$1,932,904"
Edgewater Mercy Hostel,9 Harvest Loop,,EDGEWATER,WA,6027,Metropolitan North,Residential,21,,,,The Saint Brigids Convent of Mercy Perth Inc,Religious,Major Cities of Australia,"$1,189,877"
Edina Hostel,150-160 Bronte Road,,WAVERLEY,NSW,2024,South East Sydney,Residential,41,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$2,125,283"
Edina Nursing Home,150 Bronte Road,,WAVERLEY,NSW,2024,South East Sydney,Residential,40,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$2,896,665"
Edina Retirement Centre Community Care Program,1 Glover Street,,LILYFIELD,NSW,2040,South East Sydney,Home Care Places,,91,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$965,426"
Edinglassie Lodge,36 Gascoigne Street,,PENRITH,NSW,2750,Nepean,Residential,69,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$3,239,472"
Edith Bendall Lodge,11 Park Street,,PASCOE VALE,VIC,3044,Northern Metro,Residential,60,,,,Edith Bendall Lodge,Community Based,Major Cities of Australia,"$3,179,079"
Edward Collick Home,173 Wilson Street,,SOUTH KALGOORLIE,WA,6430,Goldfields,Residential,89,,,,Amana Living Incorporated,Religious,Outer Regional Australia,"$4,639,018"
Edward River Gardens,38 Turora Street,,MOULAMEIN,NSW,2733,Riverina/Murray,Residential,17,,,,Moulamein Retirement Village Committee Inc,Community Based,Outer Regional Australia,"$623,638"
Edward Street Nursing Home,2-4-6 Edward Street,,UPPER FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,30,,,,Eastern Health,State Government,Major Cities of Australia,"$1,598,406"
