,Extra service,Maximum Room Occupancy,Number of Rooms of Type,Room Name,Room Size,exampleDAPDollar,exampleDAPPercentage,exampleRADDollar,exampleRADPercentage,extraServiceFeesAmount,home,iD,maximumDAP,maximumRAD,rADExceedsThresholdApproved,serviceID,serviceSubType,suburb
2458,N,2,0,W 8 & 9,27.3,30.11,50.0,175000.0,50.0,,Cyril Jewell House,1-E6-1149,60.22,350000.0,Pending Approval,1-EP-5683,Shared room + shared bathroom,KEILOR EAST
2459,N,1,0,W 11,13.3,30.11,50.0,175000.0,50.0,,Cyril Jewell House,1-E6-1149,60.22,350000.0,Pending Approval,1-EP-5683,Single room + ensuite,KEILOR EAST
2460,N,1,0,W 12,13.3,30.11,50.0,175000.0,50.0,,Cyril Jewell House,1-E6-1149,60.22,350000.0,Pending Approval,1-EP-5683,Single room + ensuite,KEILOR EAST
2461,N,1,0,W 13,16.29,30.11,50.0,175000.0,50.0,,Cyril Jewell House,1-E6-1149,60.22,350000.0,Pending Approval,1-EP-5683,Single room + ensuite,KEILOR EAST
2462,N,2,0,W 14 & 15,27.3,30.11,50.0,175000.0,50.0,,Cyril Jewell House,1-E6-1149,60.22,350000.0,Pending Approval,1-EP-5683,Shared room + shared bathroom,KEILOR EAST
2463,N,1,0,W 10,16.29,30.11,50.0,175000.0,50.0,,Cyril Jewell House,1-E6-1149,60.22,350000.0,Pending Approval,1-EP-5683,Single room + ensuite,KEILOR EAST
2464,N,1,0,W 10,16.29,30.11,50.0,175000.0,50.0,,Dalrymple Villa,1-E6-1284,60.22,350000.0,Pending Approval,1-EP-2250,Single room + ensuite,RICHMOND HILL
2465,N,2,0,Heritage,20.2,25.81,50.0,150000.0,50.0,,Darvall Lodge,1-AU-111,51.62,300000.0,No,1-B5-129,Shared room + ensuite,NOBLE PARK
2466,N,1,0,Classic,12.2,38.71,50.0,225000.0,50.0,,Darvall Lodge,1-AU-111,77.42,450000.0,No,1-B5-129,Single room + shared bathroom,NOBLE PARK
2467,N,1,0,Regent,20.2,47.32,50.0,275000.0,50.0,,Darvall Lodge,1-AU-111,94.63,550000.0,No,1-B5-129,Single room + ensuite,NOBLE PARK
2468,N,1,95,Standard Single,14M²,47.32,50.0,275000.0,50.0,0.0,David Buttfield Centre,1-E6-2220,94.63,550000.0,No,1-EP-4256,Single room + ensuite,GWELUP
2469,N,2,5,Standard Double,22M²,35.49,50.0,206250.0,50.0,0.0,David Buttfield Centre,1-E6-2220,70.97,412500.0,No,1-EP-4256,Shared room + ensuite,GWELUP
2470,N,1,6,Single room private ensuite,9 square metres,30.11,50.0,175000.0,50.0,,Daylesford Nursing Home,1-E6-1129,60.22,350000.0,No,1-EP-3713,Single room + ensuite,DAYLESFORD
2471,N,1,6,Single Room Shared ensuite,9 square metres,28.82,50.0,167500.0,50.0,,Daylesford Nursing Home,1-E6-1129,57.64,335000.0,No,1-EP-3713,Single room + shared bathroom,DAYLESFORD
2472,N,6,3,Shared Room Shared Ensuite,16.5 square metres,27.53,50.0,160000.0,50.0,,Daylesford Nursing Home,1-E6-1129,55.06,320000.0,No,1-EP-3713,Shared room + shared bathroom,DAYLESFORD
2473,N,1,79,Single Room,16m2,30.11,50.0,175000.0,50.0,,De Paul Villa Aged Care,1-E6-1345,60.22,350000.0,No,1-EP-3599,Single room + ensuite,ASHMORE
2474,N,2,18,Double Room,28,21.51,50.0,125000.0,50.0,,De Paul Villa Aged Care,1-E6-1345,43.01,250000.0,No,1-EP-3599,Shared room + shared bathroom,ASHMORE
2475,N,2,18,Double Room,28,21.51,50.0,125000.0,50.0,,Dellacourt,1-E6-2,43.01,250000.0,No,1-2DRIWY,Shared room + shared bathroom,WEST ALBURY
2476,N,2,1,Double (shared) rooms,18 -22 square metres,12.91,50.0,75000.0,50.0,,Deloraine Private Nursing Home,1-E6-1040,25.81,150000.0,No,1-EP-4110,Shared room + no bathroom or ensuite,GREENSBOROUGH
2477,N,1,4,Balcony Rooms,17 square metres,43.02,50.0,250000.0,50.0,0.0,Deloraine Private Nursing Home,1-E6-1040,86.03,500000.0,No,1-EP-4110,Single room + ensuite,GREENSBOROUGH
2478,N,1,6,Garden facing rooms,17square metres,25.81,50.0,150000.0,50.0,,Deloraine Private Nursing Home,1-E6-1040,51.62,300000.0,No,1-EP-4110,Single room + ensuite,GREENSBOROUGH
2479,N,1,10,Single rooms,14-17 square metres,17.21,50.0,100000.0,50.0,,Deloraine Private Nursing Home,1-E6-1040,34.41,200000.0,No,1-EP-4110,Single room + no bathroom or ensuite,GREENSBOROUGH
2480,N,1,30,Banksia & Callistemon,14.72m2,34.41,50.0,200000.0,50.0,,Diana Street Lodge,1-E6-991,68.82,400000.0,No,1-EP-2171,Single room + ensuite,CROYDON
2481,N,1,30,Acacia,Room sizes range from 14.72 to 18.72m2,34.41,50.0,200000.0,50.0,,Diana Street Lodge,1-E6-991,68.82,400000.0,No,1-EP-2171,Single room + ensuite,CROYDON
2482,N,1,30,Acacia,Room sizes range from 14.72 to 18.72m2,34.41,50.0,200000.0,50.0,,Dianella Hostel,1-E6-984,68.82,400000.0,No,1-EP-4289,Single room + ensuite,KILMORE
2483,N,1,0,Private Room with Ensuite,14.5,36.31,50.0,211000.0,50.0,,Dimboola District Hospital Nursing Home Unit,1-E6-966,72.61,422000.0,No,1-EP-5718,Single room + ensuite,DIMBOOLA
2484,N,1,0,Private Room with Shared Ensuite,14.5,30.8,50.0,179000.0,50.0,,Dimboola District Hospital Nursing Home Unit,1-E6-966,61.6,358000.0,No,1-EP-5718,Single room + shared bathroom,DIMBOOLA
2485,N,2,0,Two Bed Room with Shared Ensuite,31,29.17,50.0,169500.0,50.0,,Dimboola District Hospital Nursing Home Unit,1-E6-966,58.33,339000.0,No,1-EP-5718,Shared room + shared bathroom,DIMBOOLA
2486,N,2,0,Two Bed Room with Shared Ensuite,31,29.17,50.0,169500.0,50.0,,Doncaster Melaleuca Lodge,1-E6-999,58.33,339000.0,No,1-EP-3295,Shared room + shared bathroom,DONCASTER
2487,N,2,10,Double Rooms,23.5m2,30.11,50.0,175000.0,50.0,,Don-Wood Nursing Home,1-E6-1130,60.22,350000.0,No,1-EP-6159,Shared room + shared bathroom,CROYDON
2488,N,1,10,Single Rooms,13.3m2,34.41,50.0,200000.0,50.0,,Don-Wood Nursing Home,1-E6-1130,68.82,400000.0,No,1-EP-6159,Single room + ensuite,CROYDON
2489,N,2,0,Double Room,13-17m2,27.1,50.0,157500.0,50.0,,Doonside Residential Aged Care Facility,1-E6-428,54.2,315000.0,No,1-EP-1057,Shared room + no bathroom or ensuite,DOONSIDE
2490,N,2,0,Double Room with En-Suite,13-17m2,30.11,50.0,175000.0,50.0,,Doonside Residential Aged Care Facility,1-E6-428,60.22,350000.0,No,1-EP-1057,Shared room + ensuite,DOONSIDE
2491,N,4,0,Four Bed Room,30,24.95,50.0,145000.0,50.0,,Doonside Residential Aged Care Facility,1-E6-428,49.9,290000.0,No,1-EP-1057,Shared room + no bathroom or ensuite,DOONSIDE
2492,N,1,0,Single Room,9,30.11,50.0,175000.0,50.0,,Doonside Residential Aged Care Facility,1-E6-428,60.22,350000.0,No,1-EP-1057,Single room + no bathroom or ensuite,DOONSIDE
2493,N,1,0,Single Room with En-Suite,9,34.41,50.0,200000.0,50.0,,Doonside Residential Aged Care Facility,1-E6-428,68.82,400000.0,No,1-EP-1057,Single room + ensuite,DOONSIDE
2494,N,3,0,Triple Room,20-24m2,24.95,50.0,145000.0,50.0,,Doonside Residential Aged Care Facility,1-E6-428,49.9,290000.0,No,1-EP-1057,Shared room + no bathroom or ensuite,DOONSIDE
2495,N,1,0,RAC,From 12.3m2,47.32,50.0,275000.0,50.0,,Dougherty Apartments,1-E6-206,94.63,550000.0,No,1-EP-3008,Single room + ensuite,CHATSWOOD
2496,N,1,68,RACF,25 square meters,47.32,50.0,275000.0,50.0,,Dougherty Apartments,1-E6-206,94.63,550000.0,,1-EP-3008,Single room + ensuite,CHATSWOOD
2497,N,1,68,RACF,25 square meters,47.32,50.0,275000.0,50.0,,Dougherty Villa,1-E6-189,94.63,550000.0,,1-EP-6133,Single room + ensuite,GRAFTON
2498,N,1,1,Luxury Room Type I,15.16 m2,47.32,50.0,275000.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,94.63,550000.0,No,1-EP-5074,Single room + ensuite,AVONDALE HEIGHTS
2499,N,1,0,Luxury Room Type II,15.16 m2,47.32,50.0,275000.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,94.63,550000.0,No,1-EP-5074,Single room + ensuite,AVONDALE HEIGHTS
2500,N,1,0,Private Room,14.1 m2,25.81,50.0,150000.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,51.62,300000.0,No,1-EP-5074,Single room + ensuite,AVONDALE HEIGHTS
2501,N,1,0,Premium Room,14.1 m2,30.11,50.0,175000.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,60.22,350000.0,No,1-EP-5074,Single room + ensuite,AVONDALE HEIGHTS
2502,N,1,0,Superior Room Type I,14.1 m2,27.96,50.0,162500.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,55.92,325000.0,No,1-EP-5074,Single room + ensuite,AVONDALE HEIGHTS
2503,N,1,0,Superior Room Type II,14.1 m2,30.11,50.0,175000.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,60.22,350000.0,No,1-EP-5074,Single room + ensuite,AVONDALE HEIGHTS
2504,N,1,0,Private Room Type II,14.63 m2,25.81,50.0,150000.0,50.0,,Doutta Galla Avondale Heights Aged Care Facility,1-E6-2245,51.62,300000.0,No,1-EP-5074,Single room + shared bathroom,AVONDALE HEIGHTS
2505,N,1,0,Private Room,14.77 m2,38.71,50.0,225000.0,50.0,,Doutta Galla Footscray Aged Care Facility,1-E6-2406,77.42,450000.0,No,1-EP-22,Single room + ensuite,FOOTSCRAY
2506,N,1,0,Luxury Room,15.36 m2,47.32,50.0,275000.0,50.0,,Doutta Galla Footscray Aged Care Facility,1-E6-2406,94.63,550000.0,No,1-EP-22,Single room + ensuite,FOOTSCRAY
2507,N,2,0,Couples Suite,15.8 m2,30.11,50.0,175000.0,50.0,,Doutta Galla Footscray Aged Care Facility,1-E6-2406,60.22,350000.0,No,1-EP-22,Shared room + shared bathroom,FOOTSCRAY
2508,N,1,0,Private Room Type II,14.77 m2,38.71,50.0,225000.0,50.0,,Doutta Galla Footscray Aged Care Facility,1-E6-2406,77.42,450000.0,No,1-EP-22,Single room + ensuite,FOOTSCRAY
2509,N,1,0,Private Room Type II,14.77 m2,38.71,50.0,225000.0,50.0,,Doutta Galla Grantham Green Aged Care Facility,1-E6-836,77.42,450000.0,No,1-EP-5076,Single room + ensuite,ST ALBANS
2510,N,1,0,Private Room,14.3 m2,30.11,50.0,175000.0,50.0,,Doutta Galla Lynch's Bridge Aged Care Facility,1-E6-915,60.22,350000.0,No,1-EP-3121,Single room + ensuite,KENSINGTON
2511,N,1,0,Luxury Room,14.1 m2,47.32,50.0,275000.0,50.0,,Doutta Galla Lynch's Bridge Aged Care Facility,1-E6-915,94.63,550000.0,No,1-EP-3121,Single room + ensuite,KENSINGTON
2512,N,1,0,Luxury Room,14.1 m2,47.32,50.0,275000.0,50.0,,Doutta Galla Queens Park Aged Care Facility,1-E6-1012,94.63,550000.0,No,1-EP-1012,Single room + ensuite,MOONEE PONDS
2513,N,1,0,Private Room,11.32 m2,25.81,50.0,150000.0,50.0,,Doutta Galla Woornack Aged Care Facility,1-E6-919,51.62,300000.0,No,1-EP-1011,Single room + ensuite,SUNSHINE WEST
2514,N,1,0,Luxury Room,14.2 m2,30.11,50.0,175000.0,50.0,,Doutta Galla Woornack Aged Care Facility,1-E6-919,60.22,350000.0,No,1-EP-1011,Single room + ensuite,SUNSHINE WEST
2515,N,1,0,Luxury Room Type 2,11.32,47.32,50.0,275000.0,50.0,,Doutta Galla Woornack Aged Care Facility,1-E6-919,94.63,550000.0,No,1-EP-1011,Single room + ensuite,SUNSHINE WEST
2516,N,1,0,Luxury Room Type 2,11.32,47.32,50.0,275000.0,50.0,,Doutta Galla Yarraville Village Aged Care Facility,1-E6-921,94.63,550000.0,No,1-EP-7109,Single room + ensuite,YARRAVILLE
2517,N,2,0,Leggett Wing Couples,21.6,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Shared room + ensuite,MURCHISON
2518,N,1,0,McGrath Wing Single,12.9,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Single room + ensuite,MURCHISON
2519,N,2,0,Begg Wing Shared,16,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Shared room + shared bathroom,MURCHISON
2520,N,1,0,Brisbane Lyons Wing - Single,12.3,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Single room + ensuite,MURCHISON
2521,N,2,0,Brisbane Lyons Wing - Shared,24,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Shared room + shared bathroom,MURCHISON
2522,N,2,0,Brisbane Lyons Wing - Couples,20,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Shared room + ensuite,MURCHISON
2523,N,1,0,DP Jones Palliative Care,25,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Single room + ensuite,MURCHISON
2524,N,1,0,Begg Wing Single,12.3,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Single room + ensuite,MURCHISON
2525,N,1,0,Leggett Wing Single,12.9,21.51,50.0,125000.0,50.0,,DP Jones Nursing Home,1-E6-1091,43.01,250000.0,Pending Approval,1-EP-1234,Single room + ensuite,MURCHISON
2526,N,2,0,East Wing,21 sq meters,17.21,50.0,100000.0,50.0,,Dr E A F McDonald Nursing Home,1-E6-1442,34.41,200000.0,No,1-EP-133,Shared room + shared bathroom,OAKEY
2527,N,4,0,West Wing,41 sq meters,12.91,50.0,75000.0,50.0,,Dr E A F McDonald Nursing Home,1-E6-1442,25.81,150000.0,No,1-EP-133,Shared room + no bathroom or ensuite,OAKEY
2528,N,2,0,Double Room DMSC,48.61m2,47.32,50.0,275000.0,50.0,,Dr Mary Surveyor Centre,1-E6-2332,94.63,550000.0,No,1-EP-3204,Shared room + shared bathroom,KINGSLEY
2529,N,1,0,Single Room DMSC,24.62m2,47.32,50.0,275000.0,50.0,,Dr Mary Surveyor Centre,1-E6-2332,94.63,550000.0,No,1-EP-3204,Single room + ensuite,KINGSLEY
2530,N,1,0,Single Room DMSC,24.62m2,47.32,50.0,275000.0,50.0,,Dryandra Residential and Community Care Inc,1-E6-1769,94.63,550000.0,No,1-H8HWP4,Single room + ensuite,KELLERBERRIN
2531,N,1,40,Comfort Suite,16.8 m2 minimum,34.41,50.0,200000.0,50.0,,Drysdale Grove,1-E6-2262,68.82,400000.0,No,1-EP-4238,Single room + ensuite,DRYSDALE
2532,N,1,40,Classic Suite,16.8 m2 minimum,30.11,50.0,175000.0,50.0,,Drysdale Grove,1-E6-2262,60.22,350000.0,No,1-EP-4238,Single room + ensuite,DRYSDALE
2533,N,1,20,Superior Classic Suite,16.8 m2 minimum,38.71,50.0,225000.0,50.0,,Drysdale Grove,1-E6-2262,77.42,450000.0,No,1-EP-4238,Single room + ensuite,DRYSDALE
2534,N,1,57,Standard Room,Between 12-16sqm,32.69,50.0,190000.0,50.0,0.0,Dunbar Homes Salisbury,1-E6-1606,65.38,380000.0,,1-3JGXC0,Single room + ensuite,SALISBURY
2535,N,1,57,Standard Room,Between 12-16sqm,32.69,50.0,190000.0,50.0,0.0,Dunbar Homes Salisbury,1-E6-1606,65.38,380000.0,,1-3JGXC0,Single room + ensuite,SALISBURY
2536,N,2,1,Couple,22,31.4,50.0,182500.0,50.0,0.0,Dunmunkle Lodge Hostel,1-E6-743,62.8,365000.0,No,1-EP-1192,Shared room + ensuite,MINYIP
2537,N,1,18,Single - Shared Ensuite,12.6,28.82,50.0,167500.0,50.0,0.0,Dunmunkle Lodge Hostel,1-E6-743,57.64,335000.0,No,1-EP-1192,Single room + shared bathroom,MINYIP
2538,N,1,8,Single - Standard Ensuite,12.6,31.4,50.0,182500.0,50.0,0.0,Dunmunkle Lodge Hostel,1-E6-743,62.8,365000.0,No,1-EP-1192,Single room + ensuite,MINYIP
2539,N,1,5,Single - Large Ensuite,12.6,32.26,50.0,187500.0,50.0,0.0,Dunmunkle Lodge Hostel,1-E6-743,64.52,375000.0,No,1-EP-1192,Single room + ensuite,MINYIP
2540,N,1,1,Single Large Standard Ensuite,16,31.4,50.0,182500.0,50.0,0.0,Dunmunkle Lodge Hostel,1-E6-743,62.8,365000.0,No,1-EP-1192,Single room + ensuite,MINYIP
2541,N,1,4,Single - Green Wing,17.6,30.11,50.0,175000.0,50.0,0.0,Dunmunkle Lodge Hostel,1-E6-743,60.22,350000.0,No,1-EP-1192,Single room + ensuite,MINYIP
2542,N,1,0,Rooms 17 - 20,16.6,25.71,50.0,149431.5,50.0,,Dunolly Nursing Home,1-E6-1123,51.42,298863.0,No,1-EP-4642,Single room + shared bathroom,DUNOLLY
2543,N,1,0,"Rooms 2 - 16, Rooms 21-22",13.0 - 19.0,25.71,50.0,149431.5,50.0,,Dunolly Nursing Home,1-E6-1123,51.42,298863.0,No,1-EP-4642,Single room + ensuite,DUNOLLY
2544,N,1,0,2,12.5 sm,25.71,50.0,149431.5,50.0,,Dunolly Nursing Home,1-E6-1123,51.42,298863.0,No,1-EP-4642,Single room + ensuite,DUNOLLY
2545,N,1,52,Dementia Room,16m2,30.11,50.0,175000.0,50.0,0.0,Durham Green Lodge Memory Care,1-E6-2275,60.22,350000.0,No,1-EP-5092,Single room + ensuite,MENANGLE
2546,Y,1,,Small,14.m2,25.81,50.0,150000.0,50.0,25.0,Durham Green Lodge Memory Care,1-E6-2275,51.62,300000.0,,1-EP-5092,Single room + ensuite,MENANGLE
2547,Y,1,,Medium,25.0m2,34.41,50.0,200000.0,50.0,25.0,Durham Green Lodge Memory Care,1-E6-2275,68.82,400000.0,,1-EP-5092,Single room + ensuite,MENANGLE
2548,Y,1,,Large/Couple,27.0m2,47.32,50.0,275000.0,50.0,25.0,Durham Green Lodge Memory Care,1-E6-2275,94.63,550000.0,,1-EP-5092,Single room + ensuite,MENANGLE
2549,Y,1,,Large/Couple,27.0m2,47.32,50.0,275000.0,50.0,25.0,Dutton Court Hostel,1-E6-1620,94.63,550000.0,,1-EP-6400,Single room + ensuite,ELIZABETH EAST
2550,Y,1,,Large/Couple,27.0m2,47.32,50.0,275000.0,50.0,25.0,Eden Park Residential Aged Care,1-E6-1054,94.63,550000.0,,1-EP-3050,Single room + ensuite,WHITTINGTON
2551,N,2,0,Standard Shared Room,25sqm Approx,21.51,50.0,125000.0,50.0,,Edenvale Manor Aged Care Facility,1-E6-1029,43.01,250000.0,No,1-EP-888,Shared room + shared bathroom,KEILOR EAST
2552,N,1,0,Standard Single Room + Private Ensuite,approx.15sqm,30.11,50.0,175000.0,50.0,,Edenvale Manor Aged Care Facility,1-E6-1029,60.22,350000.0,No,1-EP-888,Single room + ensuite,KEILOR EAST
2553,N,1,0,Delux Room with Private Ensuite,approx.20sqm,46.89,50.0,272500.0,50.0,,Edenvale Manor Aged Care Facility,1-E6-1029,93.77,545000.0,No,1-EP-888,Single room + ensuite,KEILOR EAST
2554,N,12,0,Cheerbox Wing (Cheers),13.68,25.81,50.0,150000.0,50.0,,Edgarley Home,1-E6-744,51.62,300000.0,No,1-EP-82,Single room + ensuite,CASTERTON
2555,N,6,0,Ladies Auxiliary Wing (LAW),13.68,25.81,50.0,150000.0,50.0,,Edgarley Home,1-E6-744,51.62,300000.0,No,1-EP-82,Single room + ensuite,CASTERTON
2556,N,8,0,Coulter Wing (secure area),12.96,15.49,50.0,90000.0,50.0,,Edgarley Home,1-E6-744,30.97,180000.0,No,1-EP-82,Single room + shared bathroom,CASTERTON
2557,N,12,0,William Anderson Wing (WA),13.68,25.81,50.0,150000.0,50.0,,Edgarley Home,1-E6-744,51.62,300000.0,Pending Approval,1-EP-82,Single room + ensuite,CASTERTON
2558,N,3,0,Edgarley Wing,18.06,25.81,50.0,150000.0,50.0,,Edgarley Home,1-E6-744,51.62,300000.0,No,1-EP-82,Single room + ensuite,CASTERTON
2559,N,3,0,Edgarley Wing,18.06,25.81,50.0,150000.0,50.0,,Edgewater Mercy Hostel,1-E6-1807,51.62,300000.0,No,1-EP-237,Single room + ensuite,EDGEWATER
2560,N,1,1,Single room + shared bathroom,Approximately 11-13m2,18.5,50.0,107500.0,50.0,0.0,Edina Nursing Home,1-E6-567,36.99,215000.0,No,1-EP-6316,Single room + no bathroom or ensuite,WAVERLEY
2561,N,2,1,Double room + shared bathroom,Approximately 20-21m2,18.5,50.0,107500.0,50.0,0.0,Edina Nursing Home,1-E6-567,36.99,215000.0,No,1-EP-6316,Shared room + no bathroom or ensuite,WAVERLEY
2562,N,4,1,Shared room (4) + shared bath,Approximately 33-34m2,18.5,50.0,107500.0,50.0,0.0,Edina Nursing Home,1-E6-567,36.99,215000.0,No,1-EP-6316,Shared room + no bathroom or ensuite,WAVERLEY
2563,N,1,6,"Wings A,B,C,D. (Ensuite)",15.5,47.32,50.0,275000.0,50.0,,Edith Bendall Lodge,1-E6-885,94.63,550000.0,No,1-EP-2010,Single room + ensuite,PASCOE VALE
2564,N,1,10,Wing F (Shared Ensuite),19 - 23 m2 (rooms vary) 9C Building Certified,47.32,50.0,275000.0,50.0,,Edith Bendall Lodge,1-E6-885,94.63,550000.0,No,1-EP-2010,Single room + shared bathroom,PASCOE VALE
2565,N,1,9,Wing E (Ensuite),23 - 34 m2 (rooms vary)9C Building Certified,47.32,50.0,275000.0,50.0,,Edith Bendall Lodge,1-E6-885,94.63,550000.0,No,1-EP-2010,Single room + ensuite,PASCOE VALE
2566,N,1,30,"Wings A,B,C,D. (Seperate bathroom and toilet)",15.5,47.32,50.0,275000.0,50.0,,Edith Bendall Lodge,1-E6-885,94.63,550000.0,No,1-EP-2010,Single room + shared bathroom,PASCOE VALE
2567,N,1,3,Wing F (Ensuite),19 - 21 m2 (rooms vary)9C Building Certified,47.32,50.0,275000.0,50.0,,Edith Bendall Lodge,1-E6-885,94.63,550000.0,No,1-EP-2010,Single room + ensuite,PASCOE VALE
2568,N,1,2,Wing E (Shared Ensuite),21,47.32,50.0,275000.0,50.0,,Edith Bendall Lodge,1-E6-885,94.63,550000.0,No,1-EP-2010,Single room + shared bathroom,PASCOE VALE
2569,N,1,4,Standard Room,17,19.79,50.0,115000.0,50.0,0.0,Edward Collick Home,1-E6-2071,39.57,230000.0,No,1-EP-241,Single room + ensuite,SOUTH KALGOORLIE
2570,N,1,13,Deluxe Room,17,24.95,50.0,145000.0,50.0,0.0,Edward Collick Home,1-E6-2071,49.9,290000.0,No,1-EP-241,Single room + ensuite,SOUTH KALGOORLIE
2571,N,1,11,Flottmann Wing,30m2,24.95,50.0,145000.0,50.0,0.0,Edward River Gardens,1-E6-223,49.9,290000.0,,1-694T8C,Single room + ensuite,MOULAMEIN
2572,N,1,5,Roy 'Stumpy' Doran Wing,30m2,24.95,50.0,145000.0,50.0,0.0,Edward River Gardens,1-E6-223,49.9,290000.0,,1-694T8C,Single room + ensuite,MOULAMEIN
2573,N,24,0,Edward Street Single room with ensuite,3.2 by 4.5m,25.29,50.0,147000.0,50.0,,Edward Street Nursing Home,1-E6-1133,50.58,294000.0,No,1-EP-4617,Single room + ensuite,UPPER FERNTREE GULLY
2574,N,6,0,Edward Street single room shared bathroom,3.2 by 4.5m,24.69,50.0,143500.0,50.0,,Edward Street Nursing Home,1-E6-1133,49.38,287000.0,No,1-EP-4617,Single room + shared bathroom,UPPER FERNTREE GULLY
2575,N,2,,Standard,12,26.67,50.0,155000.0,50.0,0.0,Elanora,1-AU-187,53.34,310000.0,,1-852UA,Shared room + shared bathroom,BRIGHTON
2576,N,1,,Deluxe,14,36.13,50.0,210000.0,50.0,0.0,Elanora,1-AU-187,72.26,420000.0,Yes,1-852UA,Single room + ensuite,BRIGHTON
2577,N,1,,Premium,16,47.32,50.0,275000.0,50.0,63.0,Elanora,1-AU-187,94.63,550000.0,Yes,1-852UA,Single room + ensuite,BRIGHTON
2578,N,1,,Platinum,average is 24.5m2,68.82,50.0,400000.0,50.0,0.0,Elanora,1-AU-187,137.64,800000.0,Yes,1-852UA,Single room + ensuite,BRIGHTON
2579,N,1,,Platinum,average is 24.5m2,68.82,50.0,400000.0,50.0,0.0,Elanora,1-E6-2342,137.64,800000.0,Yes,1-EP-5326,Single room + ensuite,SHELLHARBOUR CITY CENTRE
2580,N,1,44,Single room with ensuite,14,30.11,50.0,175000.0,50.0,0.0,Eldercare Acacia Court,1-E6-1637,60.22,350000.0,No,1-EP-6330,Single room + ensuite,HENDON
2581,N,2,8,Double room - shared bathroom,18-38,18.07,50.0,105000.0,50.0,0.0,Eldercare Acacia Court,1-E6-1637,36.13,210000.0,No,1-EP-6330,Shared room + no bathroom or ensuite,HENDON
2582,N,1,21,Single room - shared ensuite,14,25.81,50.0,150000.0,50.0,0.0,Eldercare Acacia Court,1-E6-1637,51.62,300000.0,No,1-EP-6330,Single room + shared bathroom,HENDON
2583,N,1,20,Single room - shared bathroom,14,21.51,50.0,125000.0,50.0,0.0,Eldercare Acacia Court,1-E6-1637,43.01,250000.0,No,1-EP-6330,Single room + no bathroom or ensuite,HENDON
2584,N,1,20,Single room - shared bathroom,14,21.51,50.0,125000.0,50.0,0.0,Eldercare Allambi,1-E6-1633,43.01,250000.0,No,1-EP-275,Single room + no bathroom or ensuite,GLENGOWRIE
2585,N,1,97,Single room with ensuite,16-20,34.41,50.0,200000.0,50.0,0.0,Eldercare Cottage Grove,1-E6-1630,68.82,400000.0,No,1-EP-5343,Single room + ensuite,WOODCROFT
2586,N,2,2,Double room with ensuite,40-50,25.81,50.0,150000.0,50.0,0.0,Eldercare Cottage Grove,1-E6-1630,51.62,300000.0,No,1-EP-5343,Shared room + ensuite,WOODCROFT
2587,N,1,30,Single room with ensuite,14-18,25.81,50.0,150000.0,50.0,0.0,Eldercare Elanora,1-E6-1578,51.62,300000.0,No,1-EP-4316,Single room + ensuite,STANSBURY
2588,N,1,10,Single with ensuite - Playford,12,21.51,50.0,125000.0,50.0,0.0,Eldercare Elanora,1-E6-1578,43.01,250000.0,No,1-EP-4316,Single room + ensuite,STANSBURY
2589,N,1,10,Single with ensuite - Playford,12,21.51,50.0,125000.0,50.0,0.0,Eldercare Evanston Park,1-E6-1702,43.01,250000.0,No,1-EP-6335,Single room + ensuite,EVANSTON PARK
2590,N,1,55,Single room with ensuite,20,41.3,50.0,240000.0,50.0,0.0,Eldercare Kirkholme,1-E6-1632,82.59,480000.0,No,1-EP-3366,Single room + ensuite,GOODWOOD
2591,N,2,5,Double room - shared bathroom,21,25.81,50.0,150000.0,50.0,0.0,Eldercare Kirkholme,1-E6-1632,51.62,300000.0,No,1-EP-3366,Shared room + shared bathroom,GOODWOOD
2592,N,2,4,Double room with ensuite,20,30.11,50.0,175000.0,50.0,0.0,Eldercare Kirkholme,1-E6-1632,60.22,350000.0,No,1-EP-3366,Shared room + shared bathroom,GOODWOOD
